Category,snafu_animal,in_vocab,Item,levenstein_distance
Deers,gazelle,TRUE,gazelle,0
Deers,gnu,TRUE,gnu,0
Deers,hartebeest,TRUE,hartebeest,0
Deers,impala,TRUE,impala,0
Deers,moose,TRUE,moose,0
Canine,afghanhound,FALSE,afghan hound,1
Canine,africandog,FALSE,african dog,1
Deers,pronghorn,TRUE,pronghorn,0
Deers,reindeer,TRUE,reindeer,0
Deers,roe,TRUE,roe,0
Deers,stag,TRUE,stag,0
Canine,bassethound,FALSE,basset hound,1
Deers,wildebeest,TRUE,wildebeest,0
Dinosaur,allosaurus,TRUE,allosaurus,0
Dinosaur,apatosaurus,TRUE,apatosaurus,0
Dinosaur,brachiosaurus,TRUE,brachiosaurus,0
Dinosaur,brontosaurus,TRUE,brontosaurus,0
Dinosaur,dinosaur,TRUE,dinosaur,0
Canine,blacklab,FALSE,black lab,1
Dinosaur,raptor,TRUE,raptor,0
Dinosaur,stegosaurus,TRUE,stegosaurus,0
Dinosaur,triceratops,TRUE,triceratops,0
Canine,bostonterrier,FALSE,boston terrier,1
Dinosaur,velociraptor,TRUE,velociraptor,0
Europe,bedbug,TRUE,bedbug,0
Europe,bullmastiff,TRUE,bullmastiff,0
Europe,chigger,TRUE,chigger,0
Europe,foxhound,TRUE,foxhound,0
Europe,longhorn,TRUE,longhorn,0
Canine,chowchow,FALSE,chow chow,1
Europe,rook,TRUE,rook,0
Europe,sardine,TRUE,sardine,0
Canine,cockerspaniel,FALSE,cocker spaniel,1
Canine,dobermanpinscher,FALSE,doberman pinscher,1
Europe,turtledove,TRUE,turtledove,0
Europe,whippet,TRUE,whippet,0
Farm,ass,TRUE,ass,0
Canine,fennecfox,FALSE,fennec fox,1
Farm,bronco,TRUE,bronco,0
Farm,bullock,TRUE,bullock,0
Farm,calf,TRUE,calf,0
Farm,chick,TRUE,chick,0
Farm,chicken,TRUE,chicken,0
Farm,clydesdale,TRUE,clydesdale,0
Farm,cock,TRUE,cock,0
Farm,colt,TRUE,colt,0
Canine,frenchbulldog,FALSE,french bulldog,1
Farm,cow,TRUE,cow,0
Farm,donkey,TRUE,donkey,0
Farm,equine,TRUE,equine,0
Farm,ferret,TRUE,ferret,0
Farm,foal,TRUE,foal,0
Farm,goat,TRUE,goat,0
Farm,heifer,TRUE,heifer,0
Farm,hen,TRUE,hen,0
Farm,hog,TRUE,hog,0
Farm,horse,TRUE,horse,0
Farm,kid,TRUE,kid,0
Farm,lamb,TRUE,lamb,0
Farm,longhorn,TRUE,longhorn,0
Farm,mare,TRUE,mare,0
Canine,germanshepherd,FALSE,german shepherd,1
Farm,mule,TRUE,mule,0
Farm,peccary,TRUE,peccary,0
Farm,pig,TRUE,pig,0
Farm,piglet,TRUE,piglet,0
Farm,pony,TRUE,pony,0
Canine,goldenretriever,FALSE,golden retriever,1
Canine,greatdane,FALSE,great dane,1
Farm,ram,TRUE,ram,0
Farm,rooster,TRUE,rooster,0
Farm,sheep,TRUE,sheep,0
Farm,snake,TRUE,snake,0
Farm,sow,TRUE,sow,0
Farm,spider,TRUE,spider,0
Farm,stallion,TRUE,stallion,0
Farm,turkey,TRUE,turkey,0
Canine,greatpyrenees,FALSE,great pyrenees,1
Canine,labradorretriever,FALSE,labrador retriever,1
Feline,bobcat,TRUE,bobcat,0
Feline,bull,TRUE,bull,0
Feline,caracal,TRUE,caracal,0
Feline,catamount,TRUE,catamount,0
Feline,cheetah,TRUE,cheetah,0
Feline,cougar,TRUE,cougar,0
Feline,crane,TRUE,crane,0
Feline,feline,TRUE,feline,0
Feline,fossa,TRUE,fossa,0
Feline,jaguar,TRUE,jaguar,0
Feline,leopard,TRUE,leopard,0
Feline,liger,TRUE,liger,0
Feline,lion,TRUE,lion,0
Feline,lynx,TRUE,lynx,0
Canine,lhasaapso,FALSE,lhasa apso,1
Canine,redfox,FALSE,red fox,1
Feline,ocelot,TRUE,ocelot,0
Feline,panther,TRUE,panther,0
Canine,saintbernard,FALSE,saint bernard,1
Feline,puma,TRUE,puma,0
Feline,pussycat,TRUE,pussycat,0
Canine,shetlandsheepdog,FALSE,shetland sheepdog,1
Canine,shihtzu,FALSE,shih tzu,1
Canine,siberianhusky,FALSE,siberian husky,1
Canine,timberwolf,FALSE,timber wolf,1
Canine,whitewolf,FALSE,white wolf,1
Feline,serval,TRUE,serval,0
Canine,wilddog,FALSE,wild dog,1
Canine,yorkshireterrier,FALSE,yorkshire terrier,1
Deers,dikdik,FALSE,dik-dik,1
Deers,muledeer,FALSE,mule deer,1
Feline,tiger,TRUE,tiger,0
Feline,tigon,TRUE,tigon,0
Feline,tomcat,TRUE,tomcat,0
Deers,muskdeer,FALSE,musk deer,1
Feline,wildcat,TRUE,wildcat,0
Fish,zebrafish,TRUE,zebrafish,0
Fish,albacore,TRUE,albacore,0
Fish,anchovy,TRUE,anchovy,0
Fish,angelfish,TRUE,angelfish,0
Fish,anglerfish,TRUE,anglerfish,0
Fish,arapaima,TRUE,arapaima,0
Dinosaur,tyrannosaurusrex,FALSE,tyrannosaurus rex,1
Fish,barracuda,TRUE,barracuda,0
Fish,barramundi,TRUE,barramundi,0
Fish,bass,TRUE,bass,0
Europe,scottishfold,FALSE,scottish fold,1
Fish,billfish,TRUE,billfish,0
Fish,blobfish,TRUE,blobfish,0
Fish,blowfish,TRUE,blowfish,0
Europe,stagbeetle,FALSE,stag beetle,1
Fish,bream,TRUE,bream,0
Fish,brimfish,TRUE,brimfish,0
Farm,billygoat,FALSE,billy goat,1
Fish,carp,TRUE,carp,0
Fish,catfish,TRUE,catfish,0
Fish,clownfish,TRUE,clownfish,0
Fish,cod,TRUE,cod,0
Fish,coelacanth,TRUE,coelacanth,0
Fish,crappie,TRUE,crappie,0
Fish,cuttlefish,TRUE,cuttlefish,0
Fish,damselfish,TRUE,damselfish,0
Fish,dogfish,TRUE,dogfish,0
Fish,fish,TRUE,fish,0
Fish,flounder,TRUE,flounder,0
Farm,miniaturepony,FALSE,miniature pony,1
Farm,potbelliedpig,FALSE,potbellied pig,1
Farm,pygmygoat,FALSE,pygmy goat,1
